Adjective,Language,masculine_similarity,feminine_similarity,exclusive_masculine_similarity,exclusive_feminine_similarity,neuter_similarity,depersonalized_masculine_similarity,depersonalized_feminine_similarity,masculine_score,feminine_score,Definition
lesbian,English,0.2560064881940489,0.4614178723819547,0.0,0.0,0.1947736938943718,0.277059077313765,0.3376597704777428,0.2560064881940489,0.4614178723819547,"( LGBT , of a woman ) Homosexual , gay ; preferring exclusively women as romantic or sexual partners "
raven-haired,English,0.3642995012060909,0.4583678608544067,0.0,0.0,0.2143164738998105,0.2320381441752033,0.3003891938876743,0.3642995012060909,0.4583678608544067,Having hair that is very black and lustrous 
grandmotherly,English,0.2923051606429562,0.4579092918795964,0.0,0.0,0.278293621712567,0.2716935490216715,0.4011714806342444,0.2923051606429562,0.4579092918795964,In the manner of a grandmother 
butchy,English,0.3679538572332826,0.4491329220062588,0.0,0.0,0.2067762022746597,0.4953386624693261,0.514702951686662,0.3679538572332826,0.4491329220062588,Like or characteristic of a butch 
womenless,English,0.3496643563897593,0.4469381721203523,0.0,0.0,0.1858402348209482,0.2793744539150998,0.3102435533563986,0.3496643563897593,0.4469381721203523,Without women 
blonde,English,0.3492813420669318,0.4469116559281548,0.0,0.0,0.2119554811512798,0.237221136738925,0.2901985487425323,0.3492813420669318,0.4469116559281548,"( especially of a woman ) Alternative form of blond 1895 , S"
strong-minded,English,0.3552344548562938,0.4468888730954936,0.0,0.0,0.3017544260397223,0.3240490106093729,0.3740483718435407,0.3552344548562938,0.4468888730954936,"Having a vigorous , independent will and views "
childless,English,0.3336726358509378,0.4441783466581295,0.0,0.0,0.2656869681256441,0.1734785801099636,0.1980357578084707,0.3336726358509378,0.4441783466581295,Not having any children 
newlywed,English,0.3248660329963507,0.4439350174718878,0.0,0.0,0.2329699324567351,0.1198783134751586,0.1522138890979501,0.3248660329963507,0.4439350174718878,Recently married 
teenage,English,0.389865427365479,0.4417705761269946,0.0,0.0,0.2603429030006547,0.1983379602685532,0.2165496579023527,0.389865427365479,0.4417705761269946,Of or relating to an age between thirteen and nineteen years old
strong-willed,English,0.3335278302817131,0.4411859722714698,0.0,0.0,0.2931911442087467,0.3179406407379365,0.3506793105042942,0.3335278302817131,0.4411859722714698,"Having a vigorous, independent will"
bare-breasted,English,0.2569452173810805,0.4387524724933477,0.0,0.0,0.064563655176161,0.2044129455413348,0.3006259774027424,0.2569452173810805,0.4387524724933477,"( chiefly of a woman ) Having the breasts and nipples exposed, often implying a less salacious atmosphere than topless "
mid-aged,English,0.3960264022836167,0.4372218840633367,0.0,0.0,0.2654803138466102,0.269207397144058,0.2371001987841625,0.3960264022836167,0.4372218840633367,"middle-aged 1978 April 8, “Classified advertisement”, in Gay Community News , page 14 : Errands cleaning or whatever by reliable honest mid-aged GWM"
adulterous,English,0.3678064210530639,0.4371988055861485,0.0,0.0,0.2086567446547968,0.2318077815417498,0.2628158506632189,0.3678064210530639,0.4371988055861485,"Of, or characterized by adultery "
womanlike,English,0.3302377633701628,0.43681184697664,0.0,0.0,0.2102033573864428,0.4123711824824632,0.4838755497257144,0.3302377633701628,0.43681184697664,Befitting or characteristic of a woman
brunette,English,0.3075101607484498,0.4340340252235696,0.0,0.0,0.1971534671922409,0.2032340871183062,0.2696925406310609,0.3075101607484498,0.4340340252235696,"( of hair, eyes, skin, etc"
horse-faced,English,0.3910255729351493,0.4329292957305661,0.0,0.0,0.2568802001729388,0.2944263563872194,0.3308730078725682,0.3910255729351493,0.4329292957305661,Having a long face 
protofeminist,English,0.2352766244130922,0.4314664367324113,0.0,0.0,0.0728876238344752,0.3209676632657108,0.4131335425907103,0.2352766244130922,0.4314664367324113,"Preceding but anticipating or laying the groundwork for feminism 1988 April 1, Lawrence Bommer, “Amelia Lives!”, in Chicago Reader ‎ [1] : As Shamas depicts her, Earhart is basically a one-note, protofeminist heroine who pursues adventure ""for the fun of it"
marriageable,English,0.297578225700967,0.4311530937199234,0.0,0.0,0.1778837689534621,0.2842883119040887,0.3240988748175908,0.297578225700967,0.4311530937199234,Suitable for marriage ; nubile 
thirtyish,English,0.3713834438980357,0.427279633420618,0.0,0.0,0.2317520552755566,0.1374888421827892,0.1178307687546434,0.3713834438980357,0.427279633420618,( informal ) Approximately thirty
mannish,English,0.3635322375525895,0.4269630473097759,0.0,0.0,0.1372946808483468,0.5768408484573241,0.607529577004201,0.3635322375525895,0.4269630473097759,"( of a woman ) Resembling or characteristic of a man , masculine "
harlot,English,0.3254234618372967,0.4268276030773306,0.0,0.0,0.1795735076370366,0.1933724014449333,0.2553094975943598,0.3254234618372967,0.4268276030773306,( now uncommon ) Wanton ; lewd ; low; base
misogynist,English,0.3496960088884902,0.4257247491486129,0.0,0.0,0.2222498766314058,0.3579548192421916,0.3683578808007752,0.3496960088884902,0.4257247491486129,Misogynistic : relating to or exhibiting misogyny 
male-dominated,English,0.2126184708813686,0.4248960353467284,0.0,0.0,0.0953360479503517,0.4229774756599804,0.3873902498570297,0.2126184708813686,0.4248960353467284,"Where men , as opposed to women, are in control or form the majority"
manless,English,0.3397019869346979,0.4244449987911629,0.0,0.0,0.1612393056202005,0.3012457347994421,0.3199307727485764,0.3397019869346979,0.4244449987911629,Without a man or men
half-naked,English,0.3594935007352567,0.4236358224366423,0.0,0.0,0.1720204822016642,0.1688528988174715,0.1737698323309442,0.3594935007352567,0.4236358224366423,With very few clothes on
womanless,English,0.3260408383430307,0.4235250262437933,0.0,0.0,0.1838138628943046,0.2372109403472351,0.2887749594379701,0.3260408383430307,0.4235250262437933,Without women or a woman
red-headed,English,0.3881666908127695,0.4231369007397851,0.0,0.0,0.2376912477426246,0.2049979025974756,0.1997679947837884,0.3881666908127695,0.4231369007397851,Alternative spelling of redheaded
transexual,English,0.3345717888072523,0.4225987548290731,0.0,0.0,0.2811072917093499,0.284251825509841,0.3106712462369916,0.3345717888072523,0.4225987548290731,( rare ) Alternative spelling of transsexual
voluptuous,English,0.2719869808047863,0.4221892073101093,0.0,0.0,0.1137920027284532,0.354773576896048,0.4763233533223212,0.2719869808047863,0.4221892073101093,"Characterized or marked by full, generous , pleasurable sensation "
sexy,English,0.3361129545148116,0.4195938115462166,0.0,0.0,0.1554740791399295,0.3693316821421964,0.4612822321604546,0.3361129545148116,0.4195938115462166,( especially of a woman ) Having sex appeal ; attractive 
unfeminist,English,0.1849869967420796,0.4177115572701546,0.0,0.0,0.1946736871811573,0.4134286559518975,0.4904680951653911,0.1849869967420796,0.4177115572701546,Not feminist 
hermaphrodite,English,0.3384387646591115,0.4164700756927459,0.0,0.0,0.2539388524013391,0.3026100906577716,0.3515958186627249,0.3384387646591115,0.4164700756927459,Having ambiguous sexual organs or characteristics
feministic,English,0.2033321862704005,0.4158511271604882,0.0,0.0,0.1282502291599641,0.4864393603448169,0.5879784838081565,0.2033321862704005,0.4158511271604882,Of or relating to or in accordance with feminism 
butch,English,0.3489007637452457,0.4152942802554337,0.0,0.0,0.1685388509667838,0.5777776122326466,0.532578131845506,0.3489007637452457,0.4152942802554337,"( slang , originally Polari ) Very masculine , with a masculine appearance or attitude "
betrothed,English,0.3226525201066719,0.4135404402101601,0.0,0.0,0.1858624696562996,0.1998465451152283,0.238272263951255,0.3226525201066719,0.4135404402101601,Engaged to be married 
self-possessed,English,0.3587209639455555,0.4128549939914204,0.0,0.0,0.2895282625302098,0.3514341643591892,0.4317299356649487,0.3587209639455555,0.4128549939914204,"In full control of one's faculties , and having a firm belief in one's abilities ; confident , assured and poised "
unwed,English,0.2639074579270108,0.4121640752005481,0.0,0.0,0.1523073519590106,0.1713155680450448,0.2417813724789851,0.2639074579270108,0.4121640752005481,Not married 
husbandless,English,0.315152193562657,0.4114402982763431,0.0,0.0,0.1029769872494112,0.186996695843391,0.2247286137518685,0.315152193562657,0.4114402982763431,Without a husband 
statuesque,English,0.3155618224542104,0.4110576349491784,0.0,0.0,0.1624199045350001,0.3586305688429104,0.4328481956952801,0.3155618224542104,0.4110576349491784,Resembling or characteristic of a statue 
unmarriageable,English,0.2500113431632523,0.4108567376294885,0.0,0.0,0.1711579075680954,0.2610758919062497,0.3218745776098455,0.2500113431632523,0.4108567376294885,"Not marriageable , unsuitable for marriage "
waiflike,English,0.2453840493544415,0.4094110329944551,0.0,0.0,0.1833547731575277,0.3060922427070413,0.4242266382537253,0.2453840493544415,0.4094110329944551,"Resembling a waif ; apparently homeless , starving , etc"
transgender,English,0.2630165480279643,0.409342770992615,0.0,0.0,0.2831359316490522,0.3017382450446544,0.347441431638671,0.2630165480279643,0.409342770992615,"( broadly ) Having a gender ( identity ) which is different from one's assigned sex , or pertaining to a person who does (a trans man , trans woman , or someone non-binary , e"
teen,English,0.313433332683344,0.4090916449724462,0.0,0.0,0.2100474515474447,0.1827680296942714,0.2076166451757447,0.313433332683344,0.4090916449724462,Of or having to do with teenagers; teenage teen fashion
womanist,English,0.2485094307912486,0.4076538983551613,0.0,0.0,0.1537944569248051,0.2866649747849599,0.3285808538846507,0.2485094307912486,0.4076538983551613,Relating to or in accordance with womanism 
androgynous,English,0.3664550393326503,0.40735666890494,0.0,0.0,0.241141484606024,0.6239406216937639,0.6864087191670036,0.3664550393326503,0.40735666890494,Possessing the sex organs of both sexes
anti-feminist,English,0.189453846328591,0.4068093374447444,0.0,0.0,0.1590588260622498,0.3633181845205552,0.4499908903868129,0.189453846328591,0.4068093374447444,Alternative form of antifeminist 
virginal,English,0.295562310306362,0.4059721495523031,0.0,0.0,0.1154879219009937,0.3364604923815165,0.442070207502255,0.295562310306362,0.4059721495523031,Being or resembling a virgin 
accosted,English,0.3629189060626502,0.4052463754837528,0.0,0.0,0.2409324372697231,0.1324994431918673,0.1009689908332691,0.3629189060626502,0.4052463754837528,( heraldry ) Supported on both sides by other charges 
feminine,English,0.2270395301786386,0.4047540832471952,0.0,0.0,0.1828580840946817,0.8209050093061012,0.9999999928500238,0.2270395301786386,0.4047540832471952,Of or pertaining to the female gender ; womanly 
miniskirted,English,0.2887245210222285,0.4045158569047314,0.0,0.0,0.0711842966440906,0.2649186034254242,0.3123339661144833,0.2887245210222285,0.4045158569047314,Wearing a miniskirt 
bare-shouldered,English,0.2698984332210297,0.404421223887029,0.0,0.0,0.0979926154163271,0.2476618563404681,0.3756941823167696,0.2698984332210297,0.404421223887029,( of a garment ) Not covering the shoulders
unpregnant,English,0.2459517776597249,0.4040844476909658,0.0,0.0,0.1584689472888804,0.1469437519092728,0.2550651751533127,0.2459517776597249,0.4040844476909658,Not pregnant 
plus-size,English,0.1896297753665947,0.4039711474635506,0.0,0.0,0.1714917111894676,0.1787549779275036,0.3287539630395748,0.1896297753665947,0.4039711474635506,( of clothing ) Designed to fit an overweight person
wheelchair-bound,English,0.3906246398805167,0.4032837938249102,0.0,0.0,0.3176130162849466,0.0921969029364306,0.058765051087942,0.3906246398805167,0.4032837938249102,alternative spelling of wheelchairbound
unfaithful,English,0.3615059529567793,0.4031030510770149,0.0,0.0,0.193315230540493,0.2106202704308221,0.1933723389534214,0.3615059529567793,0.4031030510770149,Not having religious faith
chauvinist,English,0.3695331109137729,0.4028696695723089,0.0,0.0,0.2052862853945049,0.4385538529577745,0.4184443498449978,0.3695331109137729,0.4028696695723089,Pertaining to chauvinism 
femme,English,0.2520206354253629,0.4025683483022016,0.0,0.0,0.1632284735290128,0.4442606353890629,0.514658179599596,0.2520206354253629,0.4025683483022016,"( chiefly Canada , US , journalism , entertainment ) Pertaining to a femme ; feminine , female "
patriarchal,English,0.2629767718635624,0.4010824924464082,0.0,0.0,0.1169906779411303,0.4567129302236792,0.4458205223149261,0.2629767718635624,0.4010824924464082,Characteristic of a patriarch ; venerable 
cisgendered,English,0.2883880939100852,0.4010713730979587,0.0,0.0,0.3030864115781316,0.4084291003236468,0.3749073821860277,0.2883880939100852,0.4010713730979587,( uncommon ) Synonym of cisgender 
sexist,English,0.2676942788419637,0.4006309091800532,0.0,0.0,0.1753900700596614,0.3927664687272577,0.4305790078264696,0.2676942788419637,0.4006309091800532,Unfairly discriminatory against one sex in favour of the other
high-born,English,0.3483909073888686,0.3999375851004824,0.0,0.0,0.1964627761901076,0.2817493464352491,0.3204415965731182,0.3483909073888686,0.3999375851004824,Alternative spelling of highborn
buxom,English,0.2839838340227266,0.3997392823491972,0.0,0.0,0.0833507695985409,0.2546690247099878,0.3456202761966715,0.2839838340227266,0.3997392823491972,"( of a woman ) Having a full , voluptuous figure , especially possessing large breasts "
bisexual,English,0.3251570529026783,0.3995559237929585,0.0,0.0,0.2736301388374018,0.3923356334325185,0.3895147445457818,0.3251570529026783,0.3995559237929585,( of humans or other animals ) Sexually attracted to both same-gendered and different-gendered partners
objectified,English,0.2405432749789454,0.3989256389989802,0.0,0.0,0.2121625689999459,0.3129804887314547,0.3911129548681725,0.2405432749789454,0.3989256389989802,Treated as an object
