LANGUAGE,TARGET CATEGORY,TARGET WORD,REFERENCE PART OF SPEECH,REFERENCE ASSOCIATION/GRAMMATICAL GENDER,REFERENCE TRANSLATION,REFERENCE WORD,COSINE SIMILARITY,SUB-LIST
en,genders,woman,noun,neuter,stripe,stripe,0.060138495212157354,
en,genders,woman,noun,neuter,plane,plane,0.18045703859627127,
en,genders,woman,noun,neuter,chair,chair,0.2271843397714469,
en,genders,woman,noun,neuter,chest,chest,0.21628391075752845,
en,genders,woman,noun,neuter,movie,movie,0.18315282728099053,
en,genders,woman,noun,neuter,wing,wing,0.10609887639090913,
en,genders,woman,noun,neuter,ceiling,ceiling,0.027118276831584225,
en,genders,woman,noun,neuter,barn,barn,0.1565241910879012,
en,genders,woman,noun,neuter,burger,burger,0.14180922686229852,
en,genders,woman,noun,neuter,peanut,peanut,0.10812743871162812,
en,genders,woman,noun,neuter,potato,potato,0.18980708609318891,
en,determiners,the,noun,neuter,spoon,spoon,0.1489689375450988,
en,determiners,the,noun,neuter,ball,ball,0.22931402008025445,
en,determiners,the,noun,neuter,sock,sock,0.12860969962937618,
en,determiners,the,noun,neuter,bean,bean,0.13958218832278735,
en,determiners,the,noun,neuter,soap,soap,0.11389694956523913,
en,determiners,the,noun,neuter,rock,rock,0.1549930437226251,
en,determiners,the,noun,neuter,toilet,toilet,0.14122467376706763,
en,determiners,the,noun,neuter,rain,rain,0.15045661981793967,
en,determiners,the,noun,neuter,underpants,underpants,0.11368373273084476,
en,determiners,the,noun,neuter,pants,pants,0.10504625143691047,
en,determiners,the,noun,neuter,tail,tail,0.22148015876212818,
en,determiners,the,noun,neuter,lip,lip,0.1540477554988666,
en,determiners,the,noun,neuter,butterfly,butterfly,0.12203734834650407,
en,determiners,the,noun,neuter,pie,pie,0.19694066290698437,
en,determiners,the,noun,neuter,fish,fish,0.14026609067349644,
en,determiners,the,noun,neuter,boot,boot,0.1703129935986416,
en,determiners,the,noun,neuter,cupcake,cupcake,0.1350533945207968,
en,determiners,the,noun,neuter,apple,apple,0.16006186114358834,
en,determiners,the,noun,neuter,sun,sun,0.19878243626994205,
en,determiners,the,noun,neuter,diaper,diaper,0.09390767781844932,
en,determiners,the,noun,neuter,bumblebee,bumblebee,0.08409198112624523,
en,determiners,the,noun,neuter,ketchup,ketchup,0.1241629980770338,
en,determiners,the,noun,neuter,fingernail,fingernail,0.12387725497064458,
en,determiners,the,noun,neuter,frog,frog,0.1627583515659926,
en,determiners,the,noun,neuter,spaghetti,spaghetti,0.19240596790396883,
en,determiners,the,noun,neuter,toothbrush,toothbrush,0.08062074909007859,
en,determiners,the,noun,neuter,pea,pea,0.12584450977940279,
en,determiners,the,noun,neuter,lettuce,lettuce,0.11846400081455358,
en,determiners,the,noun,neuter,wall,wall,0.26698741608031673,
en,determiners,the,noun,neuter,clock,clock,0.19258141652274122,
en,determiners,the,noun,neuter,dirt,dirt,0.23136583611600645,
en,determiners,the,noun,neuter,dresser,dresser,0.0925831499044521,
en,determiners,the,noun,neuter,sidewalk,sidewalk,0.20277108326148946,
en,determiners,the,noun,neuter,washcloth,washcloth,0.11202811046124267,
en,determiners,the,noun,neuter,stove,stove,0.1793301172920979,
en,determiners,the,noun,neuter,head,head,0.30938386753682406,
en,determiners,the,noun,neuter,tomato,tomato,0.12248259600835382,
en,determiners,the,noun,neuter,sand,sand,0.17240627395841876,
en,determiners,the,noun,neuter,lemon,lemon,0.14258427638528834,
en,determiners,the,noun,neuter,noodle,noodle,0.1360414105834112,
en,determiners,the,noun,neuter,mouth,mouth,0.19462949569007706,
en,determiners,the,noun,neuter,box,box,0.2310487722996732,
en,determiners,the,noun,neuter,policeman,policeman,0.13134743686707773,
en,determiners,the,noun,neuter,candy,candy,0.1281669862490655,
en,determiners,the,noun,neuter,sandbox,sandbox,0.07778833862721822,
en,determiners,the,noun,neuter,snow,snow,0.13149204262805128,
en,determiners,the,noun,neuter,bench,bench,0.20680785339886568,
en,determiners,the,noun,neuter,drum,drum,0.12298297621653707,
en,determiners,the,noun,neuter,shoulder,shoulder,0.17458108617550552,
en,determiners,the,noun,neuter,table,table,0.2442461747128471,
en,determiners,the,noun,neuter,bowl,bowl,0.1742678377457606,
en,determiners,the,noun,neuter,butt,butt,0.15706687471957115,
en,determiners,the,noun,neuter,boots,boots,0.12712013459594285,
en,determiners,the,noun,neuter,pancake,pancake,0.1537896600785016,
en,determiners,the,noun,neuter,fist,fist,0.20220594704222977,
en,determiners,the,noun,neuter,pajama,pajama,0.11810622271079352,
en,determiners,the,noun,neuter,belly,belly,0.1772972926395299,
en,determiners,the,noun,neuter,button,button,0.1802850253414182,
en,determiners,the,noun,neuter,toast,toast,0.18121570687392138,
en,determiners,the,noun,neuter,sponge,sponge,0.13549633122754476,
en,determiners,the,noun,neuter,beard,beard,0.10510808868167104,
en,determiners,the,noun,neuter,couch,couch,0.19488309397095116,
en,determiners,the,noun,neuter,snowball,snowball,0.18100265802524465,
en,determiners,the,noun,neuter,cage,cage,0.1900738107336261,
en,determiners,the,noun,neuter,biscuit,biscuit,0.17862533675328057,
en,determiners,the,noun,neuter,mattress,mattress,0.12143073909148755,
en,determiners,the,noun,neuter,tummy,tummy,0.11041667155665891,
en,determiners,the,noun,neuter,seesaw,seesaw,0.18719980502222966,
en,determiners,the,noun,neuter,necklace,necklace,0.08978205312055436,
en,determiners,the,noun,neuter,melon,melon,0.13715171422010494,
en,determiners,the,noun,neuter,ladybug,ladybug,0.07597177787699573,
en,determiners,the,noun,neuter,pumpkin,pumpkin,0.1295320778413504,
en,determiners,the,noun,neuter,mustard,mustard,0.12608541464011233,
en,determiners,the,noun,neuter,star,star,0.14287868069971857,
en,determiners,the,noun,neuter,pinecone,pinecone,0.1308114413740583,
en,determiners,the,noun,neuter,stripe,stripe,0.18278063202759465,
en,determiners,the,noun,neuter,plane,plane,0.21449412670412699,
en,determiners,the,noun,neuter,chair,chair,0.22791003004973487,
en,determiners,the,noun,neuter,chest,chest,0.14913218582837767,
en,determiners,the,noun,neuter,movie,movie,0.19117310377525193,
en,determiners,the,noun,neuter,wing,wing,0.22036765643074843,
en,determiners,the,noun,neuter,ceiling,ceiling,0.21236994208430293,
en,determiners,the,noun,neuter,barn,barn,0.16404244720374744,
en,determiners,the,noun,neuter,burger,burger,0.11740896073174961,
en,determiners,the,noun,neuter,peanut,peanut,0.10296406970184256,
en,determiners,the,noun,neuter,potato,potato,0.1456158818150425,
es,genders,hombre,noun,masculine,sock,calcetín,0.30972886440665104,
es,genders,hombre,noun,masculine,bean,frijol,0.18137330899496706,
es,genders,hombre,noun,masculine,soap,jabón,0.21058138935098708,
es,genders,hombre,noun,masculine,toilet,baño,0.2716598393375245,
es,genders,hombre,noun,masculine,underpants,calzoncillos,0.3176055905986449,
es,genders,hombre,noun,masculine,pants,pantalones,0.29970127931979984,
es,genders,hombre,noun,masculine,lip,labio,0.23631540247416913,
es,genders,hombre,noun,masculine,sun,sol,0.2771259110243526,
es,genders,hombre,noun,masculine,diaper,pañal,0.11249260401561038,
es,genders,hombre,noun,masculine,bumblebee,abejorro,0.315896614844473,
es,genders,hombre,noun,masculine,spaghetti,espaguetis,0.14763514688075965,
es,genders,hombre,noun,masculine,toothbrush,cepillo de dientes,0.27091906199482135,
es,genders,hombre,noun,masculine,pea,arveja,0.14548647618653957,
es,genders,hombre,noun,masculine,wall,muro,0.23250846330593342,
es,genders,hombre,noun,masculine,clock,reloj,0.3100752201694438,
es,genders,hombre,noun,masculine,dresser,vestidor,0.24087249075800676,
es,genders,hombre,noun,masculine,tomato,tomate,0.20726092428081977,
es,genders,hombre,noun,masculine,noodle,fideos,0.10488389892509488,
es,genders,hombre,noun,masculine,candy,dulce,0.24038333663935083,
es,genders,hombre,noun,masculine,bench,banquillo,0.2362922030077412,
es,genders,hombre,noun,masculine,drum,tambor,0.23126858052235855,
es,genders,hombre,noun,masculine,shoulder,hombro,0.29250283620591816,
es,genders,hombre,noun,masculine,bowl,bol,0.15629384795679355,
es,genders,hombre,noun,masculine,fist,puño,0.28410643625730503,
es,genders,hombre,noun,masculine,button,botón,0.18973602843769063,
es,genders,hombre,noun,masculine,couch,sofá,0.23321552999208642,
es,genders,hombre,noun,masculine,mattress,colchón,0.19468893728609257,
es,genders,hombre,noun,masculine,seesaw,balancín,0.18264087886948718,
es,genders,hombre,noun,masculine,necklace,collar,0.24186754286556214,
es,genders,hombre,noun,masculine,melon,melón,0.23711022663483758,
es,genders,hombre,noun,masculine,plane,avión,0.2403643074851845,
es,genders,hombre,noun,masculine,chest,pecho,0.27299358485281294,
es,genders,hombre,noun,masculine,ceiling,techo,0.2250861104911933,
es,genders,hombre,noun,masculine,barn,granero,0.27056649270274613,
es,genders,hombre,noun,masculine,peanut,maní,0.16169559296505986,
es,genders,hombre,noun,feminine,spoon,cuchara,0.05456610583594372,
es,genders,hombre,noun,feminine,ball,pelota,0.20629839706674033,
es,genders,hombre,noun,feminine,rock,roca,0.2695711175737226,
es,genders,hombre,noun,feminine,rain,lluvia,0.17821608246270548,
es,genders,hombre,noun,feminine,tail,cola,0.16798173161994634,
es,genders,hombre,noun,feminine,butterfly,mariposa,0.24261828781885958,
es,genders,hombre,noun,feminine,pie,tarta,0.08153393263493211,
es,genders,hombre,noun,feminine,fish,pez,0.3474356181655748,
es,genders,hombre,noun,feminine,boot,bota,0.2139542950425697,
es,genders,hombre,noun,feminine,cupcake,magdalena,0.08830722707320152,
es,genders,hombre,noun,feminine,apple,manzana,0.18402586385785508,
es,genders,hombre,noun,feminine,fingernail,uña,0.15184523447313888,
es,genders,hombre,noun,feminine,frog,rana,0.3019817611227099,
es,genders,hombre,noun,feminine,lettuce,lechuga,0.16571023144532973,
es,genders,hombre,noun,feminine,dirt,suciedad,0.1342237623142267,
es,genders,hombre,noun,feminine,sidewalk,acera,0.20862487602493718,
es,genders,hombre,noun,feminine,washcloth,toallita,0.009570264395429146,
es,genders,hombre,noun,feminine,head,cabeza,0.2875246024047482,
es,genders,hombre,noun,feminine,sand,arena,0.1608971703000348,
es,genders,hombre,noun,feminine,mouth,boca,0.19626204277512227,
es,genders,hombre,noun,feminine,box,caja,0.16559114353664917,
es,genders,hombre,noun,feminine,sandbox,salvadera,0.13796225432582468,
es,genders,hombre,noun,feminine,snow,nieve,0.19549158498870697,
es,genders,hombre,noun,feminine,table,mesa,0.15701663736691193,
es,genders,hombre,noun,feminine,butt,culata,0.07510312098285522,
es,genders,hombre,noun,feminine,boots,botas,0.2257598605549772,
es,genders,hombre,noun,feminine,pancake,tortita,0.07574616438451165,
es,genders,hombre,noun,feminine,pajama,pijama,0.2767862323796097,
es,genders,hombre,noun,feminine,belly,barriga,0.19244648932631153,
es,genders,hombre,noun,feminine,toast,tostada,0.1242564437049616,
es,genders,hombre,noun,feminine,sponge,esponja,0.18600814407568983,
es,genders,hombre,noun,feminine,beard,barba,0.34920844422421904,
es,genders,hombre,noun,feminine,snowball,bola de nieve,0.21150622019239548,
es,genders,hombre,noun,feminine,cage,jaula,0.21210556511737577,
es,genders,hombre,noun,feminine,biscuit,galleta,0.13000660405866862,
es,genders,hombre,noun,feminine,tummy,barriguita,0.14825165632339288,
es,genders,hombre,noun,feminine,ladybug,mariquita,0.25311107988872417,
es,genders,hombre,noun,feminine,pumpkin,calabaza,0.12995050520363277,
es,genders,hombre,noun,feminine,mustard,mostaza,0.1733281997178164,
es,genders,hombre,noun,feminine,star,estrella,0.16612860700891768,
es,genders,hombre,noun,feminine,pineapple,piña,0.11508530060228317,
es,genders,hombre,noun,feminine,stripe,raya,0.11562290134547805,
es,genders,hombre,noun,feminine,chair,silla,0.20845272872260975,
es,genders,hombre,noun,feminine,movie,película,0.22352441416459784,
es,genders,hombre,noun,feminine,burger,hamburguesa,0.18712856175336492,
es,genders,mujer,noun,masculine,sock,calcetín,0.19651076990566418,
es,genders,mujer,noun,masculine,bean,frijol,0.09085871000415649,
es,genders,mujer,noun,masculine,soap,jabón,0.14541825614545928,
es,genders,mujer,noun,masculine,toilet,baño,0.20964017792446674,
es,genders,mujer,noun,masculine,underpants,calzoncillos,0.227167411110221,
es,genders,mujer,noun,masculine,pants,pantalones,0.26866361464063077,
es,genders,mujer,noun,masculine,lip,labio,0.16592505391795098,
es,genders,mujer,noun,masculine,sun,sol,0.15926512697169867,
es,genders,mujer,noun,masculine,diaper,pañal,0.09668610985924724,
es,genders,mujer,noun,masculine,bumblebee,abejorro,0.16585602701246074,
es,genders,mujer,noun,masculine,spaghetti,espaguetis,0.11436909579348652,
es,genders,mujer,noun,masculine,toothbrush,cepillo de dientes,0.20328448272327962,
es,genders,mujer,noun,masculine,pea,arveja,0.2047828272527365,
es,genders,mujer,noun,masculine,wall,muro,0.1503493112351799,
es,genders,mujer,noun,masculine,clock,reloj,0.19650023829047658,
es,genders,mujer,noun,masculine,dresser,vestidor,0.19338206716470144,
es,genders,mujer,noun,masculine,tomato,tomate,0.12629390923824182,
es,genders,mujer,noun,masculine,noodle,fideos,0.09383127477287846,
es,genders,mujer,noun,masculine,candy,dulce,0.25050369958862106,
es,genders,mujer,noun,masculine,bench,banquillo,0.12010649079317788,
es,genders,mujer,noun,masculine,drum,tambor,0.1632639370872548,
es,genders,mujer,noun,masculine,shoulder,hombro,0.25151694204258634,
es,genders,mujer,noun,masculine,bowl,bol,0.04897278486622509,
es,genders,mujer,noun,masculine,fist,puño,0.16845734814043714,
es,genders,mujer,noun,masculine,button,botón,0.0704581972347637,
es,genders,mujer,noun,masculine,couch,sofá,0.17856012899150858,
es,genders,mujer,noun,masculine,mattress,colchón,0.08290845347977936,
es,genders,mujer,noun,masculine,seesaw,balancín,0.1286632642270925,
es,genders,mujer,noun,masculine,necklace,collar,0.1649152060268298,
es,genders,mujer,noun,masculine,melon,melón,0.15487916695054893,
es,genders,mujer,noun,masculine,plane,avión,0.16257949891942322,
es,genders,mujer,noun,masculine,chest,pecho,0.2537033594817481,
es,genders,mujer,noun,masculine,ceiling,techo,0.14321866834648,
es,genders,mujer,noun,masculine,barn,granero,0.15433287998135573,
es,genders,mujer,noun,masculine,peanut,maní,0.09759486618611525,
es,genders,mujer,noun,feminine,spoon,cuchara,0.13462930693892466,
es,genders,mujer,noun,feminine,ball,pelota,0.2581116355623579,
es,genders,mujer,noun,feminine,rock,roca,0.2914153817462611,
es,genders,mujer,noun,feminine,rain,lluvia,0.22294337548942253,
es,genders,mujer,noun,feminine,tail,cola,0.26468284869120556,
es,genders,mujer,noun,feminine,butterfly,mariposa,0.3341478663304717,
es,genders,mujer,noun,feminine,pie,tarta,0.22834864816158262,
es,genders,mujer,noun,feminine,fish,pez,0.21584646732346657,
es,genders,mujer,noun,feminine,boot,bota,0.2809904887746545,
es,genders,mujer,noun,feminine,cupcake,magdalena,0.23697534338407433,
es,genders,mujer,noun,feminine,apple,manzana,0.26229529889918446,
es,genders,mujer,noun,feminine,fingernail,uña,0.2178771664508291,
es,genders,mujer,noun,feminine,frog,rana,0.34383412879158265,
es,genders,mujer,noun,feminine,lettuce,lechuga,0.2567392250602182,
es,genders,mujer,noun,feminine,dirt,suciedad,0.17384138531228502,
es,genders,mujer,noun,feminine,sidewalk,acera,0.30314951822967556,
es,genders,mujer,noun,feminine,washcloth,toallita,0.19547724035659705,
es,genders,mujer,noun,feminine,head,cabeza,0.36248356155313266,
es,genders,mujer,noun,feminine,sand,arena,0.20568902963643354,
es,genders,mujer,noun,feminine,mouth,boca,0.2297389974529712,
es,genders,mujer,noun,feminine,box,caja,0.29871177096705775,
es,genders,mujer,noun,feminine,sandbox,salvadera,0.12029855379332495,
es,genders,mujer,noun,feminine,snow,nieve,0.2063471638399833,
es,genders,mujer,noun,feminine,table,mesa,0.2608748213599397,
es,genders,mujer,noun,feminine,butt,culata,0.15599416379457473,
es,genders,mujer,noun,feminine,boots,botas,0.19158409513438923,
es,genders,mujer,noun,feminine,pancake,tortita,0.20858258195175344,
es,genders,mujer,noun,feminine,pajama,pijama,0.21955023715742697,
es,genders,mujer,noun,feminine,belly,barriga,0.3329543345881901,
es,genders,mujer,noun,feminine,toast,tostada,0.21886468075992166,
es,genders,mujer,noun,feminine,sponge,esponja,0.24814365681219858,
es,genders,mujer,noun,feminine,beard,barba,0.31855080581773293,
es,genders,mujer,noun,feminine,snowball,bola de nieve,0.3094715968244661,
es,genders,mujer,noun,feminine,cage,jaula,0.23945420039305457,
es,genders,mujer,noun,feminine,biscuit,galleta,0.23149351960175535,
es,genders,mujer,noun,feminine,tummy,barriguita,0.3187253464039753,
es,genders,mujer,noun,feminine,ladybug,mariquita,0.3656067441506955,
es,genders,mujer,noun,feminine,pumpkin,calabaza,0.23045020414768075,
es,genders,mujer,noun,feminine,mustard,mostaza,0.1760336393565003,
es,genders,mujer,noun,feminine,star,estrella,0.2830611327456758,
es,genders,mujer,noun,feminine,pineapple,piña,0.2069658384441195,
es,genders,mujer,noun,feminine,stripe,raya,0.17028171627268102,
es,genders,mujer,noun,feminine,chair,silla,0.3138176614265344,
es,genders,mujer,noun,feminine,movie,película,0.3305182982038007,
es,genders,mujer,noun,feminine,burger,hamburguesa,0.25320300977396,
es,determiners,el,noun,masculine,sock,calcetín,0.14251038419693404,
es,determiners,el,noun,masculine,bean,frijol,0.08969974997297482,
es,determiners,el,noun,masculine,soap,jabón,0.09397333685057241,
