Adjective,Language,masculine_similarity,feminine_similarity,exclusive_masculine_similarity,exclusive_feminine_similarity,neuter_similarity,depersonalized_masculine_similarity,depersonalized_feminine_similarity,adjective.masc-form,adjective.fem-form,grammatical_gender,masculine_score,feminine_score,Alternate Form,Definition
octogenario,Spanish,0.464524905785029,0.323101721934718,0.0,0.0,0.2543617125841129,0.1196114812433723,0.1518646148791811,octogenario,octogenaria,masculine,0.464524905785029,0.323101721934718,octogenaria,dative / ablative masculine / neuter singular of octōgēnārius
masculino,Spanish,0.4644554472932962,0.4509943917937964,0.0,0.0,0.2736232273462305,0.3269119621408104,0.4628882458305894,masculino,masculina,masculine,0.4644554472932962,0.4509943917937964,masculina,"masculine , male"
rudo,Spanish,0.4642209506050406,0.2615711346333801,0.0,0.0,0.1371409858337073,0.2040493156099517,0.2803259044445395,rudo,ruda,masculine,0.4642209506050406,0.2615711346333801,ruda,inflection of rudais : vocative / accusative / instrumental singular masculine / feminine genitive plural masculine / feminine
depravado,Spanish,0.4639892159723155,0.2540535859823406,0.0,0.0,0.2079549749174235,0.1393686267699878,0.2528829809546633,depravado,depravada,masculine,0.4639892159723155,0.2540535859823406,depravada,depraved
buenmozo,Spanish,0.4632170932766157,0.3046920976806642,0.0,0.0,0.18870378700152,0.1209282171433487,0.1977053066623224,buenmozo,buenmoza,masculine,0.4632170932766157,0.3046920976806642,buenmoza,"( Latin America , colloquial ) good-looking ; handsome"
caballeroso,Spanish,0.4626561157843888,0.323603572551451,0.0,0.0,0.2636459671104419,0.1525385114457275,0.2003214209567714,caballeroso,caballerosa,masculine,0.4626561157843888,0.323603572551451,caballerosa,chivalrous
astuto,Spanish,0.4622865471731439,0.1847190953877475,0.0,0.0,0.1412892628141371,0.1276811007242159,0.0595875425310135,astuto,astuta,masculine,0.4622865471731439,0.1847190953877475,astuta,"astute , shrewd Synonym: furbo"
ateo,Spanish,0.4600197557220285,0.2798497783679019,0.0,0.0,0.2905101268830494,0.1819741508239892,0.1361500689624203,ateo,atea,masculine,0.4600197557220285,0.2798497783679019,atea,atheistic Synonym: ateistico
forzudo,Spanish,0.4591808508796683,0.319802567405894,0.0,0.0,0.1564842581640007,0.1963314489694456,0.2429755237104175,forzudo,forzuda,masculine,0.4591808508796683,0.319802567405894,forzuda,"strong , tough"
embarazado,Spanish,0.4587853320740874,0.4741970936006527,0.0,0.0,0.2098325203996494,0.2198039409470492,0.2685185633329336,embarazado,embarazada,masculine,0.4587853320740874,0.4741970936006527,embarazada,"( usually in the feminine form ) pregnant Synonyms: encinto , preñado El caballito de mar macho es el único animal que queda embarazado "
viajador,Spanish,0.4586717865914304,0.3242542444759526,0.0,0.0,0.2825604379541823,0.3170044717441441,0.157133487982409,viajador,viajadora,masculine,0.4586717865914304,0.3242542444759526,viajadora,travelling
ciudadano,Spanish,0.4585176087621617,0.3405551121294757,0.0,0.0,0.4020702981034992,0.1941845907899307,0.0936513889192385,ciudadano,ciudadana,masculine,0.4585176087621617,0.3405551121294757,ciudadana,living in a city
infeliz,Spanish,0.4582939863942353,0.4077608532208712,0.0,0.0,0.3408215495442507,0.1753527363281035,0.1754967890049183,infeliz,infeliz,invariable,0.4582939863942353,0.4077608532208712,infeliz,unhappy ( not happy; sad ) Synonym: triste Antonym: feliz
mujeriego,Spanish,0.4578015363259854,0.3521210129788779,0.0,0.0,0.2339056922778332,0.1943333039311412,0.2654815685298057,mujeriego,mujeriega,masculine,0.4578015363259854,0.3521210129788779,mujeriega,( relational ) woman
agricultor,Spanish,0.4576312740535397,0.2995062311139168,0.0,0.0,0.2292699115660823,0.1410923185391801,0.0530567473923964,agricultor,agricultora,masculine,0.4576312740535397,0.2995062311139168,agricultora,agricultural
intrépido,Spanish,0.4575266043506245,0.2092461485416157,0.0,0.0,0.1669097886021127,0.0790127003165391,0.0874597614002782,intrépido,intrépida,masculine,0.4575266043506245,0.2092461485416157,intrépida,"fearless Synonyms: impávido , sem medo"
civilizado,Spanish,0.4570825501892054,0.2800114404390422,0.0,0.0,0.2218558217499235,0.1695971816757066,0.2068507742685921,civilizado,civilizada,masculine,0.4570825501892054,0.2800114404390422,civilizada,civilised
aventurero,Spanish,0.4559776159410098,0.2510642695790421,0.0,0.0,0.221249985106285,0.1304979142885465,0.1512587625359831,aventurero,aventurera,masculine,0.4559776159410098,0.2510642695790421,aventurera,neuter of aventureru
bondadoso,Spanish,0.4553759112396065,0.2147492988635726,0.0,0.0,0.2319067178637929,0.0776981165596081,0.0814471199951808,bondadoso,bondadosa,masculine,0.4553759112396065,0.2147492988635726,bondadosa,"kind , caring , bounteous"
semihumano,Spanish,0.454283174221789,0.2762683005047001,0.0,0.0,0.2544521670922363,0.2221165689937184,0.2335151188759114,semihumano,semihumana,masculine,0.454283174221789,0.2762683005047001,semihumana,semihuman
heterosexual,Spanish,0.4537776575520334,0.5107412711188182,0.0,0.0,0.3553521657141605,0.3109692525847264,0.5309409084840819,heterosexual,heterosexual,invariable,0.4537776575520334,0.5107412711188182,heterosexual,Sexually attracted to members of the opposite sex 
tímido,Spanish,0.4536271402688868,0.2381418893861186,0.0,0.0,0.2146485738199496,0.1473406045633367,0.1804816671939598,tímido,tímido,masculine,0.4536271402688868,0.2381418893861186,tímido,"timid , shy"
