PART OF SPEECH,LANGUAGE,ASSOCIATION/GRAMMATICAL GENDER,WORD,TRANSLATION,cosine_similarity_to_target
noun,de,feminine,Nudel,noodle,
noun,en,neuter,mouth,mouth,
noun,es,feminine,boca,mouth,
noun,de,masculine,Mund,mouth,
noun,en,neuter,box,box,
noun,es,feminine,caja,box,
noun,de,masculine,Kasten,box,
noun,en,neuter,policeman,policeman,
noun,de,masculine,Polizist,policeman,
noun,en,neuter,candy,candy,
noun,es,masculine,dulce,candy,
noun,de,feminine,Süßigkeit,candy,
noun,en,neuter,sandbox,sandbox,
noun,es,feminine,salvadera,sandbox,
noun,de,masculine,Sandkasten,sandbox,
noun,en,neuter,snow,snow,
noun,es,feminine,nieve,snow,
noun,de,masculine,Schnee,snow,
noun,en,neuter,bench,bench,
noun,es,masculine,banquillo,bench,
noun,de,feminine,Bank,bench,
noun,en,neuter,drum,drum,
noun,es,masculine,tambor,drum,
noun,de,feminine,Trommel,drum,
noun,en,neuter,shoulder,shoulder,
noun,es,masculine,hombro,shoulder,
noun,de,feminine,Schulter,shoulder,
noun,en,neuter,table,table,
noun,es,feminine,mesa,table,
noun,de,masculine,Tisch,table,
noun,en,neuter,bowl,bowl,
noun,es,masculine,bol,bowl,
noun,de,feminine,Schüssel,bowl,
noun,en,neuter,butt,butt,
noun,es,feminine,culata,butt,
noun,de,masculine,Hintern,butt,
noun,en,neuter,boots,boots,
noun,es,feminine,botas,boots,
noun,de,masculine,Stiefel,boots,
noun,en,neuter,pancake,pancake,
noun,es,feminine,tortita,pancake,
noun,de,masculine,Pfannkuchen,pancake,
noun,en,neuter,fist,fist,
noun,es,masculine,puño,fist,
noun,de,feminine,Faust,fist,
noun,en,neuter,pajama,pajama,
noun,es,feminine,pijama,pajama,
noun,de,masculine,Schlafanzug,pajama,
noun,en,neuter,belly,belly,
noun,es,feminine,barriga,belly,
noun,en,neuter,button,button,
noun,es,masculine,botón,button,
noun,de,feminine,Taste,button,
noun,en,neuter,toast,toast,
noun,es,feminine,tostada,toast,
noun,en,neuter,sponge,sponge,
noun,es,feminine,esponja,sponge,
noun,de,masculine,Schwamm,sponge,
noun,en,neuter,beard,beard,
noun,es,feminine,barba,beard,
noun,de,masculine,Bart,beard,
noun,en,neuter,couch,couch,
noun,es,masculine,sofá,couch,
noun,en,neuter,snowball,snowball,
noun,es,feminine,bola de nieve,snowball,
noun,de,masculine,Schneeball,snowball,
noun,en,neuter,cage,cage,
noun,es,feminine,jaula,cage,
noun,de,masculine,Käfig,cage,
noun,en,neuter,biscuit,biscuit,
noun,es,feminine,galleta,biscuit,
noun,de,masculine,Keks,biscuit,
noun,en,neuter,mattress,mattress,
noun,es,masculine,colchón,mattress,
noun,de,feminine,Matratze,mattress,
noun,en,neuter,tummy,tummy,
noun,es,feminine,barriguita,tummy,
noun,de,masculine,Bauch,tummy,
noun,en,neuter,seesaw,seesaw,
noun,es,masculine,balancín,seesaw,
noun,de,feminine,Wippe,seesaw,
noun,en,neuter,necklace,necklace,
noun,es,masculine,collar,necklace,
noun,de,feminine,Kette,necklace,
noun,en,neuter,melon,melon,
noun,es,masculine,melón,melon,
noun,de,feminine,Melone,melon,
noun,en,neuter,ladybug,ladybug,
noun,es,feminine,mariquita,ladybug,
noun,de,masculine,Marienkäfer,ladybug,
noun,en,neuter,pumpkin,pumpkin,
noun,es,feminine,calabaza,pumpkin,
noun,de,masculine,Kürbis,pumpkin,
noun,en,neuter,mustard,mustard,
noun,es,feminine,mostaza,mustard,
noun,de,masculine,Senf,mustard,
noun,en,neuter,star,star,
noun,es,feminine,estrella,star,
noun,de,masculine,Stern,star,
noun,en,neuter,pinecone,pinecone,
noun,es,feminine,piña,pineapple,
noun,de,masculine,Tannenzapfen,pinecone,
noun,en,neuter,stripe,stripe,
noun,es,feminine,raya,stripe,
noun,en,neuter,plane,plane,
noun,es,masculine,avión,plane,
noun,de,feminine,Ebene,plane,
noun,en,neuter,chair,chair,
noun,es,feminine,silla,chair,
noun,de,masculine,Stuhl,chair,
noun,en,neuter,chest,chest,
noun,es,masculine,pecho,chest,
noun,de,feminine,Brust,chest,
noun,en,neuter,movie,movie,
noun,es,feminine,película,movie,
noun,de,masculine,Film,movie,
noun,en,neuter,wing,wing,
noun,en,neuter,ceiling,ceiling,
noun,es,masculine,techo,ceiling,
noun,de,feminine,Decke,ceiling,
noun,en,neuter,barn,barn,
noun,es,masculine,granero,barn,
noun,de,feminine,Scheune,barn,
noun,en,neuter,burger,burger,
noun,es,feminine,hamburguesa,burger,
noun,de,masculine,Burger,burger,
noun,en,neuter,peanut,peanut,
noun,es,masculine,maní,peanut,
noun,de,feminine,Erdnuss,peanut,
noun,en,neuter,potato,potato,
noun,de,feminine,Kartoffel,potato,
